|0
Glass Key Award Nominee|6
Oxford-Weidenfeld Translation Prize|6
Anthony Award for Best Novel of the Century|6
New York City Book Award for Memoir|6
Chicago Tribune Heartland Prize for Nonfiction|6
John and Patricia Beatty Award|6
IRA Children’s and Young Adult’s Book Award for Older Reader Category|6
Analog Award for Best Serial Novel or Novella|6
Oklahoma Sequoyah Award for Children and YA|6
Ein Buch für die Stadt|6
QWF|6
Gumshoe Award Nominee for Best European Crime Novel|6
Macavity Award Nominee for Best Nonfiction|6
National Book Critics Circle Award for Criticism|6
Endeavour Award|6
Sidewise Award for Long Form|6
Hugo Award for Best Novella|6
Audie Award for Romance|6
Pegasus Prize for Literature|6
Leipzig Book Award for European Understanding|6
